State,Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
Alaska,2012,4817528,21693,342,1296,,5020,15035
Alaska,2013,4833996,20834,346,1449,2055,4645,13788
Alaska,2014,4849377,20727,276,1436,2005,4701,13745
Arizona,2012,730307,4412,30,583,,630,3169
,2013,737259,4709,34,657,925,623,3127
,2014,736732,4684,41,555,771,629,3243
Arkansas,2012,6551149,28077,358,2282,,7383,18054
,2013,6634997,27576,355,2344,3174,6656,17391
,2014,6731484,26916,319,2464,3378,6249,16970
California,2012,2949828,13851,174,1233,,2310,10134
,2013,2958765,13705,158,1135,1490,2261,9796
,2014,2966369,14243,165,1182,1763,2050,10265
Colorado,2012,37999878,160944,1884,7837,,56521,94702
,2013,38431393,154739,1746,7464,10324,53640,89029
,2014,38802500,153709,1699,8398,11527,48680,91803
Connecticut,2012,5189458,15951,152,2122,,3392,10285
,2013,5272086,16099,174,2198,2963,3136,9826
,2014,5355866,16554,151,2121,3039,3039,10325
Delaware,2012,3591765,10183,117,933,,3709,5424
,2013,3599341,9439,91,647,891,3551,4906
,2014,3596677,8522,86,571,782,3159,4495
District of Columbia,2012,917053,5048,56,249,,1498,3245
,2013,925240,4633,41,278,399,1233,2960
,2014,935614,4576,54,249,386,1269,2867
Florida,2012,633427,7866,88,236,,4037,3505
,2013,649111,8415,103,297,395,4082,3835
,2014,658893,8199,105,352,472,3497,4125
Georgia,2012,19320749,94087,1009,5260,,23889,63929
,2013,19600311,91993,972,4765,6767,23200,61054
,2014,19893297,107521,1149,6051,8563,24914,72895
Hawaii,2012,9915646,37675,583,2143,,12502,22447
,2013,9994759,37519,563,2022,2891,12704,21361
,2014,10097343,38097,580,2159,3048,12417,22052
Idaho,2012,1390090,3378,21,279,,1125,1953
,2013,1408987,3585,32,366,508,934,2111
,2014,1419561,3680,26,314,445,1107,2102
Illinois,2012,1595590,3348,30,495,,243,2580
,2013,1612843,3471,29,516,674,220,2548
,2014,1634464,3468,32,468,609,204,2623
Indiana,2012,12868192,53556,770,3581,,19480,29725
,2013,12890552,51956,722,3895,5340,17733,28161
,2014,12880580,47663,685,3081,4159,15299,27520
Iowa,2012,6537782,22544,307,1661,,6601,13975
,2013,6570713,23627,357,1623,2241,7114,13915
,2014,6596855,24099,330,1615,2186,6897,14686
Kansas,2012,3075039,8167,49,901,,962,6255
,2013,3092341,8443,41,873,1133,937,6332
,2014,3107126,8497,60,828,1128,1045,6264
Kentucky,2012,2885398,10292,85,1105,,1493,7609
,2013,2895801,9928,117,1003,1295,1339,7177
,2014,2904021,10123,91,1075,1411,1362,7259
Louisiana,2012,4379730,9852,201,1312,,3547,4792
,2013,4399583,9280,172,951,1646,3247,4215
,2014,4413457,9340,160,883,1440,3336,4404
Maine,2012,4602134,22839,489,1155,,5458,15737
,2013,4629284,24127,494,1248,1763,5539,16331
,2014,4649676,23934,477,992,1375,5695,16387
Maryland,2012,1328501,1626,26,372,,420,808
,2013,1328702,1761,24,366,495,335,907
,2014,1330089,1700,21,360,485,304,890
Massachusetts,2012,5884868,28086,373,1237,,10173,16303
,2013,5938737,28235,384,1179,1679,10048,16124
,2014,5976407,26661,365,1144,1619,9544,15133
Michigan,2012,6645303,27047,121,1650,,6555,18721
,2013,6708874,27264,138,1722,2303,6705,18118
,2014,6745408,26399,132,1629,2180,6036,18051
Minnesota,2012,9882519,44962,701,4635,,10423,29203
,2013,9898193,44757,625,4506,6785,10093,27254
,2014,9909877,42348,535,4049,6273,8021,27519
Mississippi,2012,5379646,12419,99,1638,,3475,7207
,2013,5422060,12710,114,1453,2014,3674,6908
,2014,5457173,12505,88,1452,2001,3687,6729
Missouri,2012,2986450,7769,213,819,,2277,4460
,2013,2992206,8303,217,726,1024,2413,4649
,2014,2994079,8338,258,764,1058,2430,4592
Montana,2012,6024522,27189,390,1527,,5782,19490
,2013,6044917,26216,369,1679,2305,5486,18056
,2014,6063589,26856,403,1706,2379,5592,18482
Nebraska,2012,1005494,2803,29,392,,202,2180
,2013,1014864,2924,23,382,467,217,2217
,2014,1023579,3313,37,430,541,203,2532
Nevada,2012,1855350,4802,52,710,,1128,2912
,2013,1868969,4949,56,621,847,1035,3011
,2014,1881503,5275,54,620,862,1043,3316
New Hampshire,2012,2754354,16763,124,931,,4918,10790
,2013,2791494,16888,163,1090,1482,5183,10060
,2014,2839099,18045,170,995,1357,5954,10564
New Jersey,2012,1321617,2841,15,486,,471,1869
,2013,1322616,2952,21,522,778,647,1506
,2014,1326813,2602,12,458,594,537,1459
New Mexico,2012,8867749,25727,388,1035,,11385,12919
,2013,8911502,25748,404,861,1189,12084,12071
,2014,8938175,23346,349,953,1274,10498,11225
New York,2012,2083540,11660,116,957,,1847,8740
,2013,2086895,12990,123,1135,1565,1832,9470
,2014,2085572,12459,101,1071,1475,2086,8797
North Carolina,2012,19576125,79535,683,2837,,28633,47382
,2013,19695680,77563,644,2575,3548,27241,46130
,2014,19746227,75398,617,3918,5433,24045,45303
North Dakota,2012,9748364,34464,479,1984,,9392,22609
,2013,9848917,33587,463,1790,2524,9275,21325
,2014,9943964,32767,510,1740,2420,8416,21421
Ohio,2012,701345,1723,25,279,,127,1292
,2013,723857,1979,16,288,355,161,1447
,2014,739482,1960,22,276,358,173,1407
Oklahoma,2012,11553031,34827,478,3813,,15396,15140
,2013,11572005,33722,478,3594,4391,14483,14370
,2014,11594163,33030,464,4097,5042,12753,14771
Oregon,2012,3815780,18102,220,1622,,3248,13012
,2013,3853118,17187,198,1715,2314,3023,11652
,2014,3878051,15744,175,1277,1777,3048,10744
Pennsylvania,2012,3899801,9638,91,1159,,2419,5969
,2013,3928068,9536,82,1000,1464,2394,5596
,2014,3970239,9224,81,1052,1458,2093,5592
Rhode Island,2012,12764475,45384,707,3371,,15735,25571
,2013,12781296,42825,611,2728,3795,14739,23680
,2014,12787209,40164,614,2787,3827,13534,22189
South Carolina,2012,1050304,2657,36,292,,715,1614
,2013,1053354,2710,31,333,449,683,1547
,2014,1055173,2313,25,253,361,529,1398
South Dakota,2012,4723417,26474,332,1712,,4511,19919
,2013,4771929,24263,305,1739,2233,3965,17760
,2014,4832482,24052,311,1480,2068,3997,17676
Tennessee,2012,834047,2701,23,600,,157,1921
,2013,845510,2733,18,454,507,156,2052
,2014,853175,2786,20,413,470,200,2096
Texas,2012,6454914,41213,400,2047,,8151,30615
,2013,6497269,38063,335,1904,2500,7333,27895
,2014,6549352,39848,371,1861,2531,7265,29681
Utah,2012,26060796,106475,1148,7715,,30385,67227
,2013,26505637,108757,1140,7610,10456,31810,65351
,2014,26956958,109414,1184,8236,11393,31181,65656
Vermont,2012,2854871,5939,52,975,,1105,3807
,2013,2902787,6644,51,926,1522,1247,3824
,2014,2942902,6346,67,945,1454,1312,3513
Virginia,2012,625953,891,8,131,,114,638
,2013,626855,775,10,113,136,75,554
,2014,626562,622,10,99,110,70,432
Washington,2012,8186628,15676,322,1505,,4718,9131
,2013,8270345,16355,320,1476,2350,4574,9111
,2014,8326289,16340,338,1432,2310,4292,9400
West Virginia,2012,6895318,20553,217,2250,,5801,12285
,2013,6973742,20223,167,2072,2604,5829,11623
,2014,7061530,20136,174,2171,2695,5640,11627
Wisconsin,2012,1856680,5943,70,415,,835,4623
,2013,1853595,5657,62,367,700,653,4242
,2014,1850326,5588,74,285,505,651,4358
Wyoming,2012,5724554,16254,169,1228,,4692,10165
,2013,5742953,16118,163,1308,1836,4834,9285
,2014,5757564,16714,165,1168,1674,5066,9809